name,product_id,price,brand,age,images,color,shoes sizes
Women's Puma X-Ray Lite White/Metallic Shoe,130609ABJD1," R 1,099.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59183705.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59183705_01.jpg']]",White/Silver,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Nike Court Vision Low Canvas Beige/Cork Shoe,130609ABAL5," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613872.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57613872_01.jpg']]",Beige,"['4', '5', '6', '7', '8']"
Women's Puma Vikky v2 Burgundy/White Shoe,130609ABBJ1, R 669.95,Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57635592.jpg'], []]",Burgundy/White,"['4', '5', '6', '7', '8']"
Women's New Balance 500 Black/White Shoe,130609ABIV6, R 999.95,New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168299.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168299_01.jpg']]",Black/White,"['4', '5', '6', '7', '8', '9']"
Women's New Balance 500 Black/Silver Shoe,130609ABIW1, R 999.95,New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168400.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168400_01.jpg']]",Black/Silver,"['4', '5', '6', '7', '8', '9']"
Women's Nike Court Vision Mid White Shoe,130609ABIV2," R 1,299.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59164937.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59164937_01.jpg']]",White,"['1', '1.5', '2', '2.5', '3', '3.5', '4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']"
Women's Nike Court Royale 2 Mid White Shoe,130609AAWD2," R 1,199.95",Nike,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57535039.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57535039_01.jpg']]",White,"['4', '5', '6', '7', '8']"
Women's New Balance 237 Pink/Silver Shoe,130609ABIV5," R 1,299.95",New Balance,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168298.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/59168298_01.jpg']]",Pink/Silver,"['4', '5', '6', '7', '8', '9']"
Women's Superga Classics Canvas Light Green Shoe,130609ABFD8, R 799.95,Superga,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58976690.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/58976690_01.jpg']]",Green/White,"['3', '4', '5', '6', '7', '8']"
Women's Puma Carina Crew White/Pink Shoe,130609ABDO2," R 1,099.95",Puma,women,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57744811.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/13/ProductImages/57744811_01.jpg']]",White/Pink,"['4', '5', '6', '7', '8']"
